,PP_SA_min_eigenvalue,PP_SA_eigenval_prob,PP_SA_yi,PP_SA_xij,PP_SA_runtime,PP_SA_assignment,PP_SA_real_weights_sum,PP_SA_placed_weights_sum,PP_SA_used_items,PP_SA_feasible,PP_SA_reason,PP_SA_penalties_dict_A,PP_SA_penalties_dict_B
7,9050.000000,0.001000,"['9', '1', '4', '8', '2', '3', '0', '5', '6', '7']","['9', '1', '4', '8', '2', '3', '0', '5', '6', '7']",237.114429,"[('0', 30), ('1', 22), ('2', 14), ('3', 17), ('4', 15), ('5', 9), ('6', 13), ('7', 9), ('8', 15), ('9', 21)]",65,165,"[0, 2, 3, 5, 6, 3, 4, 8, 6, 8, 9, 6, 7, 9, 4, 8, 7, 3, 8, 7, 7, 8, 0, 1, 7]",False,"['real_weights_sum:65 != placed_weights_sum:165; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
8,510.000000,0.002000,"['2', '1']","['2', '1']",48.561335,"[('1', 19), ('2', 19)]",19,38,"[0, 1, 2, 0, 1, 2]",False,"['real_weights_sum:19 != placed_weights_sum:38; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
9,1420.000000,0.001000,"['2', '3', '0', '1']","['2', '3', '0', '1']",64.222813,"[('0', 10), ('1', 21), ('2', 4), ('3', 13)]",25,48,"[0, 3, 0, 1, 2, 3, 2, 3]",False,"['real_weights_sum:25 != placed_weights_sum:48; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
10,1525.000000,0.001000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",96.925020,"[('0', 20), ('1', 13), ('2', 9), ('3', 9), ('4', 7)]",33,58,"[2, 3, 4, 0, 1, 4, 1, 2, 3]",False,"['real_weights_sum:33 != placed_weights_sum:58; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
11,2625.000000,0.001000,"['4', '2', '3', '0', '5']","['4', '2', '3', '0', '5']",161.734581,"[('0', 16), ('2', 19), ('3', 8), ('4', 24), ('5', 19)]",43,86,"[2, 3, 3, 4, 5, 1, 0, 1, 2, 1, 4, 5]",False,"['real_weights_sum:43 != placed_weights_sum:86; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
12,4830.000000,0.001000,"['1', '2', '3', '5', '0', '6']","['1', '2', '3', '5', '0', '6']",155.542850,"[('0', 17), ('1', 30), ('2', 5), ('3', 24), ('5', 17), ('6', 14)]",50,107,"[5, 6, 0, 1, 3, 5, 4, 0, 2, 6, 5, 6, 3, 6]",False,"['real_weights_sum:50 != placed_weights_sum:107; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
13,4940.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6', '7']","['1', '4', '2', '3', '0', '5', '6', '7']",177.114248,"[('0', 14), ('1', 11), ('2', 17), ('3', 6), ('4', 22), ('5', 14), ('6', 11), ('7', 10)]",49,105,"[0, 3, 5, 6, 1, 5, 6, 4, 0, 2, 3, 2, 4, 5, 6, 5, 7]",False,"['real_weights_sum:49 != placed_weights_sum:105; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
14,6745.000000,0.001000,"['1', '4', '8', '2', '3', '0', '5', '6', '7']","['1', '4', '8', '2', '3', '0', '5', '6', '7']",202.807188,"[('0', 32), ('1', 8), ('2', 25), ('3', 11), ('4', 11), ('5', 25), ('6', 16), ('7', 16), ('8', 12)]",61,156,"[0, 1, 2, 4, 7, 8, 1, 2, 5, 6, 2, 6, 6, 7, 0, 1, 3, 4, 8, 5, 6, 7, 4, 7]",False,"['real_weights_sum:61 != placed_weights_sum:156; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
15,8350.000000,0.001000,"['9', '1', '4', '8', '2', '3', '0', '5', '6', '7']","['9', '1', '4', '8', '2', '3', '0', '5', '6', '7']",227.058411,"[('0', 16), ('1', 23), ('2', 28), ('3', 17), ('4', 25), ('5', 19), ('6', 9), ('7', 8), ('8', 5), ('9', 36)]",71,186,"[0, 8, 4, 5, 7, 4, 5, 6, 9, 5, 7, 0, 3, 6, 1, 2, 3, 5, 8, 9, 1, 3, 6, 7, 9]",False,"['real_weights_sum:71 != placed_weights_sum:186; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
16,510.000000,0.002000,"['2', '1']","['2', '1']",54.757595,"[('1', 19), ('2', 19)]",19,38,"[0, 1, 2, 0, 1, 2]",False,"['real_weights_sum:19 != placed_weights_sum:38; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
17,1320.000000,0.001000,"['2', '3', '0', '1']","['2', '3', '0', '1']",61.286688,"[('0', 19), ('1', 9), ('2', 19), ('3', 9)]",23,56,"[1, 2, 3, 1, 1, 2, 3, 0, 2]",False,"['real_weights_sum:23 != placed_weights_sum:56; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
18,2325.000000,0.001000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",96.087933,"[('0', 19), ('1', 16), ('2', 8), ('3', 11), ('4', 6)]",30,60,"[2, 3, 4, 0, 1, 2, 4, 1, 2, 3]",False,"['real_weights_sum:30 != placed_weights_sum:60; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
